hardware,depth_ratio,cx_ratio,init,circuit
rochester,3.4210526315789473,5.814516129032258,sa,53Q_gate_Rochester_small_1_4_1.5_no.0
sycamore,5.32258064516129,4.391089108910891,identity,53Q_gate_Sycamore_large_1_20_1.5_no.0
sycamore,6.523809523809524,5.698701298701299,identity,53Q_gate_Sycamore_large_1_10_1.5_no.2
sycamore,3.066666666666667,5.706586826347305,sa,53Q_depth_Sycamore_large_None_3_2.55_no.3
sycamore,3.574074074074074,4.0932642487046635,sabre,53Q_gate_Sycamore_small_1_5_1.5_no.9
rochester,5.774193548387097,6.124087591240876,sa,53Q_gate_Rochester_large_1_2_1.5_no.5
tokyo,2.675,2.7790697674418605,identity,20Q_gate_Tokyo_large_2_2_1.5_no.1
sycamore,6.052631578947368,5.982412060301508,identity,53Q_gate_Sycamore_small_1_15_1.5_no.6
rochester,5.777777777777778,9.666666666666666,random,53Q_gate_Rochester_large_1_4_1.5_no.0
sycamore,5.991596638655462,5.699421965317919,identity,53Q_gate_Sycamore_small_1_25_1.5_no.4
sycamore,5.7625,7.399193548387097,random,53Q_depth_Sycamore_large_None_2_2.55_no.7
tokyo,1.75,3.1739130434782608,identity,20Q_gate_Tokyo_large_2_3_1.5_no.4
rochester,3.2962962962962963,6.835616438356165,sa,53Q_gate_Rochester_small_2_0_1.5_no.5
tokyo,2.2567567567567566,2.8620689655172415,random,20Q_gate_Tokyo_large_2_5_1.5_no.0
sycamore,4.5476190476190474,6.3355704697986575,random,53Q_depth_Sycamore_large_None_1_1.5_no.1
tokyo,1.6440677966101696,1.967741935483871,sa,20Q_gate_Tokyo_large_1_4_1.5_no.2
tokyo,1.628930817610063,3.3181818181818183,identity,20Q_depth_Tokyo_large_None_3_1.5_no.4
rochester,7.702702702702703,11.25,identity,53Q_depth_Rochester_large_None_1_1.5_no.6
tokyo,1.2340425531914894,1.4941176470588236,sa,20Q_gate_Tokyo_large_2_4_1.5_no.1
rochester,6.705882352941177,10.770491803278688,random,53Q_depth_Rochester_large_None_2_2.55_no.9
tokyo,1.9285714285714286,2.6867469879518073,sabre,20Q_depth_Tokyo_large_None_5_2.55_no.5
rochester,6.21505376344086,6.877682403433476,random,53Q_gate_Rochester_large_2_25_1.5_no.5
rochester,5.19672131147541,5.665441176470588,sa,53Q_gate_Rochester_small_1_10_1.5_no.4
rochester,4.7894736842105265,6.904,sabre,53Q_depth_Rochester_large_None_1_2.55_no.3
sycamore,5.880597014925373,7.280851063829787,random,53Q_depth_Sycamore_small_None_2_1.5_no.3
rochester,5.704918032786885,7.164383561643835,identity,53Q_gate_Rochester_large_1_5_1.5_no.8
sycamore,3.2796610169491527,4.4324324324324325,sa,53Q_gate_Sycamore_small_2_20_1.5_no.8
tokyo,2.1082251082251084,2.4138755980861246,sabre,20Q_gate_Tokyo_large_1_20_1.5_no.3
rochester,6.229508196721311,6.978494623655914,sa,53Q_depth_Rochester_large_None_5_1.5_no.6
rochester,6.153846153846154,8.041984732824428,random,53Q_depth_Rochester_small_None_4_1.5_no.8
sycamore,3.2282608695652173,7.535714285714286,identity,53Q_depth_Sycamore_small_None_1_2.55_no.2
sycamore,4.040816326530612,4.079120879120879,sa,53Q_gate_Sycamore_large_2_20_1.5_no.4
tokyo,1.8958333333333333,2.3674418604651164,random,20Q_gate_Tokyo_large_1_10_1.5_no.2
rochester,6.305555555555555,11.2,random,53Q_gate_Rochester_large_2_3_1.5_no.7
sycamore,3.180327868852459,4.888268156424581,sa,53Q_depth_Sycamore_small_None_4_1.5_no.2
sycamore,3.389830508474576,4.47191011235955,sabre,53Q_depth_Sycamore_large_None_1_2.55_no.3
rochester,7.523076923076923,7.050335570469799,identity,53Q_gate_Rochester_large_1_10_1.5_no.5
